Sno_1,Name_1,kT,clean_name,Sno_2,name_2,norm
599,SWIFTJ0206.2-0019,0.11,SWIFTJ0206.2-0019,702,SWIFTJ0206.2-0019,2.71E-05
600,SWIFTJ0214.9-6432,0.11,SWIFTJ0214.9-6432,710,SWIFTJ0214.9-6432,3.09E-05
601,SWIFTJ0238.8-4039,0.11,SWIFTJ0238.8-4039,713,SWIFTJ0238.8-4039,3.22E-05
602,SWIFTJ0312.9+4121,0.11,SWIFTJ0312.9+4121,760,SWIFTJ0312.9+4121,6.43E-05
603,SWIFTJ0351.7-4030,0.11,SWIFTJ0351.7-4030,725,SWIFTJ0351.7-4030,3.7E-05
604,SWIFTJ0433.0+0521,0.11,SWIFTJ0433.0+0521,827,SWIFTJ0433.0+0521,0.00105
605,SWIFTJ0436.3-1022,0.11,SWIFTJ0436.3-1022,804,SWIFTJ0436.3-1022,0.000165
606,SWIFTJ0707.1+6433,0.11,SWIFTJ0707.1+6433,672,SWIFTJ0707.1+6433,1.67E-05
607,SWIFTJ0733.2+4558,0.11,SWIFTJ0733.2+4558,691,SWIFTJ0733.2+4558,2.31E-05
608,SWIFTJ0747.5+6057,0.11,SWIFTJ0747.5+6057,700,SWIFTJ0747.5+6057,2.7E-05
609,SWIFTJ0917.2-6457,0.11,SWIFTJ0917.2-6457,745,SWIFTJ0917.2-6457,5.1E-05
610,SWIFTJ0935.5+2616,0.11,SWIFTJ0935.5+2616,670,SWIFTJ0935.5+2616,1.57E-05
611,SWIFTJ0959.5-2248,0.11,SWIFTJ0959.5-2248,447,SWIFTJ0959.5-2248,-99
612,SWIFTJ1031.9-1418,0.11,SWIFTJ1031.9-1418,761,SWIFTJ1031.9-1418,6.57E-05
613,SWIFTJ1048.4-2511,0.11,SWIFTJ1048.4-2511,484,SWIFTJ1048.4-2511,-99
614,SWIFTJ1201.2-0341,0.11,SWIFTJ1201.2-0341,643,SWIFTJ1201.2-0341,8.32E-06
615,SWIFTJ1204.9+3105,0.11,SWIFTJ1204.9+3105,364,SWIFTJ1204.9+3105,-99
616,SWIFTJ1213.9-0531,0.11,SWIFTJ1213.9-0531,717,SWIFTJ1213.9-0531,3.3E-05
617,SWIFTJ1223.7+0238,0.11,SWIFTJ1223.7+0238,732,SWIFTJ1223.7+0238,4.2E-05
618,SWIFTJ1229.1+0202,0.11,SWIFTJ1229.1+0202,808,SWIFTJ1229.1+0202,0.000173
619,SWIFTJ1305.4-1034,0.11,SWIFTJ1305.4-1034,659,SWIFTJ1305.4-1034,1.21E-05
620,SWIFTJ1313.1-1108,0.11,SWIFTJ1313.1-1108,740,SWIFTJ1313.1-1108,4.82E-05
621,SWIFTJ1335.8-3416,0.11,SWIFTJ1335.8-3416,790,SWIFTJ1335.8-3416,0.000129
622,SWIFTJ1341.2-1439,0.11,SWIFTJ1341.2-1439,782,SWIFTJ1341.2-1439,0.000111
