Name,T,norm,Calc_energy_flux,Sample_flux,plus_Error,minus_Error,log_energy_flux,log_sample_flux
SWIFTJ2040.2-5126,0.24,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2209.4-4711,0.24,9.89e-06,2.58612441315e-14,2.58781077823e-14,3.10961e-16,5.95478e-16,-13.587350585935589,-13.587067482629934
SWIFTJ0714.2+3518,0.25,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1052.8+1043,0.25,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1355.9+1822,0.25,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1717.1-6249,0.25,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2322.5-0646,0.25,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0920.1+3712,0.26,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1209.4+4340,0.27,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1313.6+3650B,0.27,2.43e-06,1.18257289489e-14,1.17569728535e-14,6.74874e-17,6.2436e-17,-13.927172079451028,-13.929704484572333
SWIFTJ0840.2+2947,0.28,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0319.7+4132,0.29,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0503.0+2302,0.29,4.33e-05,2.92816436354e-13,2.91077014077e-13,2.11673e-15,2.44783e-15,-12.533404549138785,-12.53599208880242
SWIFTJ1206.2+5243,0.29,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2027.1-0220,0.29,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0919.2+5528,0.3,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0955.5+6907,0.3,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2328.9+0328,0.31,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0124.5+3350,0.32,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2028.5+2543D2,0.33,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0250.7+4142,0.34,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0823.4-0457,0.34,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1416.9-4640,0.4,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0046.2-4008,0.43,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0856.0+7812,0.48,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2304.9+1220,0.48,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0113.8+1313,0.5,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2242.4-3711,0.55,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1652.0-5915A,0.62,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0209.5-1010D2,0.63,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1219.4+4720,0.63,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2028.5+2543D1,0.63,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0333.6-3607,0.64,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1304.3-0532,0.64,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2235.9+3358,0.64,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0048.8+3155,0.66,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0739.7-3142,0.66,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0744.0+2914,0.68,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0934.7-2156,0.69,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0804.2+0507,0.7,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0241.3-0816,0.72,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1519.6+6538,0.76,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0743.0+6513,0.77,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1442.5-1715,0.77,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0548.4-4748,0.78,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2207.3+1013,0.78,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1246.6+5435,0.8,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1338.2+0433,0.8,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1643.2+7036,0.8,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0209.5-1010D1,0.81,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2318.4-4223,0.81,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1457.8-4308,0.82,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2148.3-3454,0.82,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0453.4+0404,0.84,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1253.5-4137,0.84,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0131.8-3307,0.85,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1238.9-2720,0.86,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0902.0+6007,0.87,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0807.9+3859,0.9,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1800.3+6637,0.9,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0632.8+6343,0.91,8.82e-06,5.72656759892e-13,5.72706368279e-13,2.92763e-17,2.39211e-16,-12.242105608312144,-12.242067987669005
SWIFTJ1306.4-4025A,0.93,6.07e-06,3.98534867005e-13,3.98494151964e-13,8.53938e-17,1.61417e-16,-12.399533677064435,-12.399578047639414
SWIFTJ1341.2+3023,0.97,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0935.9+6120,0.99,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2246.0+3941,0.99,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1235.6-3954,1.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2359.3-6058,1.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1325.4-4301,1.01,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0304.1-0108,1.16,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2200.9+1032,1.2,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0602.5+6518,1.23,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0111.4-3808,1.36,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2344.6-4246,1.65,3.88e-06,2.62865599192e-13,2.62905888724e-13,4.55191e-18,6.97806e-17,-12.58026624561224,-12.58019968619631
SWIFTJ1737.7-5956B,2.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1959.4+4044,4.05,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1212.9+0702,5.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1838.4-6524,5.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0215.6-1301,7.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2341.8+3033,7.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1138.9+2529A,9.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0251.6-1639,0.89,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1635.0-5804,0.76,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1413.2-0312,0.99,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1630.5+3925,0.1,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1322.2-1641,0.11,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0134.1-3625,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1225.8+1240,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1309.2+1139,0.23,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1209.5+4702,-99.0,-99.0,-99,-99,-99,-99,-99,-99
